version,files,blank,comment,code
1.0,5,590,3407,1291
1.0.1,5,590,3407,1291
1.0.2,10,640,4792,1551
1.0.3,12,620,4719,1503
1.0.4,16,720,4162,2367
1.1,20,692,3048,2805
1.1.1,20,696,3059,2832
1.1.2,20,717,3156,2903
1.1.3,20,819,3194,3251
1.1.3.1,20,821,3194,3253
1.1.4,23,959,3266,3688
1.2,20,446,133,2369
1.2.1,20,451,131,2380
1.2.2,29,597,178,3311
1.2.3,29,615,180,3380
1.2.4,31,692,209,3642
1.2.5,31,692,209,3642
1.2.6,31,700,210,3654
1.3,52,2487,908,15277
1.3.0,52,2487,908,15277
1.3.1,52,2504,911,15344
1.3.2,52,2546,939,15430
1.4,63,3184,1067,17461
1.4.0,63,3184,1067,17461
1.4.1,63,3288,1062,17780
1.4.2,63,3434,1107,18159
1.4.3,65,3628,1167,18910
1.4.4,65,3692,1175,19049
1.5,73,4114,1340,20599
1.5.0,73,4114,1340,20599
1.5.1,52,2388,657,8893
1.5.2,53,2407,665,8970
1.6,53,2603,691,9611
1.6.0,53,2603,691,9611
1.6.1,57,2628,692,9849
1.6.2,58,2719,698,10142
1.6.3,60,2776,715,10409
1.6.4,60,2778,715,10414
1.7,64,2976,787,11551
1.7.0,64,2976,787,11551
1.7.1,65,3057,819,12093
1.7.2,68,3162,877,12353
1.8.0,75,3456,971,13685
1.8.1,73,3496,965,13824
1.8.2,73,3503,968,13857
1.8.3,73,3525,976,13961
1.9.0,75,3427,960,14243
1.9.1,78,3455,961,14418
1.10.0,84,3579,972,14978
1.10.1,84,3588,972,15035
1.10.2,84,3590,973,15039
1.11.0,159,8565,5858,36736
1.11.1,162,8639,5852,37257
1.11.2,163,8654,5874,37321
1.11.3,163,8658,5877,37334
1.12.0,185,6883,3050,27741
1.12.1,186,6897,3056,27799
1.12.2,185,6911,3057,27860
1.12.3,185,6912,3056,27834
1.12.4,186,6916,3057,27870
2.0.0,87,3513,919,14579
2.0.1,87,3538,918,14732
2.0.2,87,3547,918,14789
2.0.3,87,3554,919,14801
2.1.0,158,8386,5676,35916
2.1.1,160,8500,5668,36429
2.1.2,161,8513,5687,36491
2.1.3,161,8513,5687,36491
2.1.4,161,8517,5690,36502
2.2.0,181,6699,2943,26474
2.2.1,181,6711,2946,26512
2.2.2,180,6726,2950,26581
2.2.3,180,6730,2950,26596
2.2.4,180,6745,2945,26654
3.0.0,189,7191,2940,28609
3.1.0,192,7214,2941,28730
3.1.1,195,7242,2957,28810
3.2.0,196,7309,2960,29029
3.2.1,195,7317,2969,29089
3.3.0,180,7456,3038,30184
3.3.1,180,7456,3038,30184
3.4.0,194,7599,3141,30975
3.4.1,194,7605,3150,31021
